order_date,orders,revenue
2016-09-04,1,136.23
2016-09-15,1,0.0
2016-10-03,7,559.53
2016-10-04,58,10900.95
2016-10-05,45,9849.39
2016-10-06,48,7665.11
2016-10-07,44,7880.34
2016-10-08,39,9272.15
2016-10-09,22,3294.64
2016-10-10,37,4493.39
2016-12-23,1,19.62
2017-01-05,32,707.27
2017-01-06,4,988.28
2017-01-07,4,1447.99
2017-01-08,6,809.63
2017-01-09,5,774.51
2017-01-10,6,1571.17
2017-01-11,11,2881.52
2017-01-12,13,2502.69
2017-01-13,11,2780.7200000000003
2017-01-14,18,1507.36
2017-01-15,14,2551.34
2017-01-16,19,3712.2400000000002
2017-01-17,32,3893.61
2017-01-18,33,4683.38
2017-01-19,29,4140.16
2017-01-20,29,4698.07
2017-01-21,24,3094.76
2017-01-22,31,4280.22
2017-01-23,39,7553.889999999999
2017-01-24,40,6794.5
2017-01-25,63,10434.31
2017-01-26,85,15127.74
2017-01-27,62,12904.13
2017-01-28,29,5909.98
2017-01-29,35,7160.66
2017-01-30,53,12187.9
2017-01-31,70,13021.73
2017-02-01,72,10173.16
2017-02-02,69,10676.54
2017-02-03,57,11505.0
2017-02-04,67,15747.17
2017-02-05,75,10153.24
2017-02-06,85,11626.0
2017-02-07,111,16541.61
2017-02-08,94,14232.289999999999
2017-02-09,77,10844.17
2017-02-10,65,15052.88
2017-02-11,49,5648.37
2017-02-12,63,16639.87
2017-02-13,77,12667.02
2017-02-14,76,15309.08
2017-02-15,62,8326.4
2017-02-16,53,7486.849999999999
2017-02-17,46,8093.57
2017-02-18,54,9308.3
2017-02-19,40,4477.65
2017-02-20,62,9122.62
2017-02-21,41,9333.46
2017-02-22,60,8637.2
2017-02-23,59,8571.86
2017-02-24,64,7983.01
2017-02-25,43,5126.18
2017-02-26,46,6583.5
2017-02-27,42,6790.76
2017-02-28,54,12423.25
2017-03-01,98,18819.24
2017-03-02,72,13146.36
2017-03-03,74,14154.71
2017-03-04,78,13575.5
2017-03-05,72,8546.74
2017-03-06,104,12076.89
2017-03-07,81,13608.11
2017-03-08,78,16720.32
2017-03-09,93,13828.33
2017-03-10,86,14107.78
2017-03-11,70,12473.31
2017-03-12,63,7711.89
2017-03-13,108,18983.78
2017-03-14,98,16416.29
2017-03-15,108,17364.91
2017-03-16,102,16569.07
2017-03-17,65,13611.279999999999
2017-03-18,73,17943.07
2017-03-19,56,7728.08
2017-03-20,115,19583.18
2017-03-21,93,14687.41
2017-03-22,105,16390.14
2017-03-23,113,22825.28
2017-03-24,78,13336.7
2017-03-25,75,11169.26
2017-03-26,64,7642.02
2017-03-27,110,20364.53
2017-03-28,100,14028.49
2017-03-29,73,9805.42
2017-03-30,74,11435.0
2017-03-31,70,13753.28
2017-04-01,68,20574.68
2017-04-02,65,10608.62
2017-04-03,72,10776.9
2017-04-04,96,14152.99
2017-04-05,96,20774.55
2017-04-06,96,26863.58
2017-04-07,84,14962.24
2017-04-08,68,10290.74
2017-04-09,71,9341.0
2017-04-10,86,13321.95
2017-04-11,78,9878.09
2017-04-12,62,9220.27
2017-04-13,60,11216.11
2017-04-14,51,8326.42
2017-04-15,52,9391.56
2017-04-16,49,6532.21
2017-04-17,64,9277.43
2017-04-18,71,23433.86
2017-04-19,97,13941.25
2017-04-20,97,15865.09
2017-04-21,67,10141.81
2017-04-22,84,15005.06
2017-04-23,86,11685.76
2017-04-24,114,15762.05
2017-04-25,111,17176.35
2017-04-26,123,18118.2
2017-04-27,78,11871.67
2017-04-28,98,18063.29
2017-04-29,74,13835.28
2017-04-30,68,9437.0
2017-05-01,116,14796.77
2017-05-02,126,20512.14
2017-05-03,102,12155.48
2017-05-04,109,15901.72
2017-05-05,111,16584.58
2017-05-06,109,19227.55
2017-05-07,111,20467.98
2017-05-08,124,19194.68
2017-05-09,127,24179.94
2017-05-10,115,23258.64
2017-05-11,126,21204.04
2017-05-12,112,14758.78
2017-05-13,72,10601.95
2017-05-14,110,17327.24
2017-05-15,156,21723.62
2017-05-16,152,24456.93
2017-05-17,140,21217.81
2017-05-18,125,20861.79
2017-05-19,144,21525.09
2017-05-20,72,12364.17
2017-05-21,148,20368.53
2017-05-22,148,28906.6
2017-05-23,124,20411.07
2017-05-24,142,26991.95
2017-05-25,106,17780.45
2017-05-26,79,12634.24
2017-05-27,80,16025.22
2017-05-28,98,11120.71
2017-05-29,158,21922.39
2017-05-30,103,16642.1
2017-05-31,126,23405.8
2017-06-01,124,21781.38
2017-06-02,127,21769.38
2017-06-03,89,12265.44
2017-06-04,102,16029.49
2017-06-05,146,27124.98
2017-06-06,133,17309.54
2017-06-07,128,15989.12
2017-06-08,137,22106.28
2017-06-09,107,18685.52
2017-06-10,77,9892.1
2017-06-11,115,19348.54
2017-06-12,126,17389.2
2017-06-13,125,16783.87
2017-06-14,131,23559.52
2017-06-15,106,15008.92
2017-06-16,95,14673.210000000001
2017-06-17,75,13070.16
2017-06-18,88,17584.14
2017-06-19,155,25849.71
2017-06-20,93,14348.92
2017-06-21,35,7275.1
2017-06-22,86,10394.48
2017-06-23,106,15422.94
2017-06-24,76,10013.7
2017-06-25,105,20734.34
2017-06-26,72,15200.32
2017-06-27,141,19680.13
2017-06-28,120,17080.88
2017-06-29,114,14694.57
2017-06-30,95,16236.74
2017-07-01,80,14139.0
2017-07-02,106,13807.47
2017-07-03,117,19262.68
2017-07-04,125,18107.6
2017-07-05,143,24472.12
2017-07-06,154,26556.07
2017-07-07,120,16234.03
2017-07-08,84,12001.35
2017-07-09,91,10076.6
2017-07-10,143,20661.8
2017-07-11,164,24685.11
2017-07-12,151,22567.34
2017-07-13,136,17902.73
2017-07-14,149,21833.26
2017-07-15,98,13128.05
2017-07-16,112,15588.11
2017-07-17,168,25799.54
2017-07-18,192,32450.89
2017-07-19,153,20411.75
2017-07-20,141,21294.78
2017-07-21,114,15209.99
2017-07-22,88,13318.54
2017-07-23,105,14066.83
2017-07-24,159,21434.6
2017-07-25,150,20361.16
2017-07-26,122,13864.08
2017-07-27,124,18945.82
2017-07-28,132,23276.3
2017-07-29,114,18205.239999999998
2017-07-30,117,15341.69
